City	Country	Latitude	Longitude	Year	population
Coimbatore	India	11.01	76.97	1970	710001.317497
Delhi	India	28.66	77.21	1970	3530001.62962
Dhanbad	India	23.8	86.45	1970	410001.523083
Durg-Bhilainagar	India	21.22	81.43	1970	230001.793755
Faridabad	India	28.42	77.3	1970	80001.64514
Ghaziabad	India	28.67	77.42	1970	120001.522509
Guwahati	India	26.17	91.77	1970	200001.871039
Gwalior	India	26.14	78.1	1970	400001.069986
Hubli-Dharwad	India	15.36	75.08	1970	370001.113394
Hyderabad	India	17.39	78.48	1970	1750001.80542
Indore	India	22.42	75.54	1970	550001.09615
Jabalpur	India	23.15	79.97	1970	520001.590511
Jaipur	India	26.9	75.8	1970	620001.064094
Jalandhar	India	31.32	75.57	1970	290001.220268
Jammu	India	33.45	76.24	1970	160001.895066
Jamshedpur	India	22.8	86.18	1970	440001.095841
Jodhpur	India	26.28	73.02	1970	310001.893984
Kanpur	India	26.45	80.31	1970	1250001.69401
Kochi	India	9.97	76.27	1970	420001.5766
Kolkata	India	22.54	88.33	1970	6930001.42032
Kota	India	25.18	75.83	1970	200001.229253
Kozhikode	India	26.28	75.77	1970	320001.826645
Lucknow	India	26.84	80.91	1970	800001.128973
Ludhiana	India	30.91	75.85	1970	390001.127046
Madurai	India	9.91	78.12	1970	690001.596013
Meerut	India	28.99	77.7	1970	360001.480857
Moradabad	India	28.83	78.78	1970	270001.831692
Mumbai	India	19.07	72.82	1970	5810001.37931
Mysore	India	12.3	76.65	1970	350001.259491
Nagpur	India	21.15	79.08	1970	910001.452788
Nashik	India	20.02	73.5	1970	270001.67785
Patna	India	25.61	85.13	1970	480001.552959
Pune	India	18.53	73.85	1970	1100001.63565
Raipur	India	21.23	81.63	1970	200001.970712
Rajkot	India	22.3	70.78	1970	290001.593284
Ranchi	India	23.35	85.33	1970	240001.335885
Salem	India	11.65	78.16	1970	400001.704148
Solapur	India	17.68	75.92	1970	390001.334065
Srinagar	India	34.08	74.8	1970	410001.154927
Surat	India	21.16	72.83	1970	480001.496385
Thiruvananthapuram	India	8.48	76.95	1970	390001.051213
Tiruchirappalli	India	10.81	78.69	1970	450001.649508
Vadodara	India	22.3	73.2	1970	450001.462654
Varanasi	India	25.28	82.95	1970	600001.504883
Vijayawada	India	16.51	80.61	1970	340001.870548
Visakhapatnam	India	17.74	83.33	1970	350001.285289
Adelaide	Australia	-34.81	138.52	1970	790001.124558
Brisbane	Australia	-27.45	153.02	1970	800001.227668
Melbourne	Australia	-37.85	145.07	1970	2330001.74766
Perth	Australia	-31.95	115.85	1970	610001.855867
Sydney	Australia	-33.88	151.02	1970	2670001.06182
Bandar Lampung	Indonesia	-5.45	105.26	1970	150001.056347
Bandung	Indonesia	-6.91	107.6	1970	1170001.12986
Bogor	Indonesia	-6.6	106.8	1970	300001.739251
Jakarta	Indonesia	-6.16	106.8	1970	3920001.92314
Malang	Indonesia	-7.98	112.62	1970	410001.195278
Medan	Indonesia	3.58	98.67	1970	610001.343666
Padang	Indonesia	-0.95	100.35	1970	190001.018832
Palembang	Indonesia	-2.99	104.75	1970	570001.558312
Pekan Baru	Indonesia	0.53	101.45	1970	120001.002857
Semarang	Indonesia	-6.97	110.42	1970	630001.673231
Surabaya	Indonesia	-7.39	112.68	1970	1470001.08909
Ujung Pandang	Indonesia	-5.13	119.41	1970	420001.936748
Ahvaz	Iran (Islamic Republic of)	31.31	48.68	1970	250001.723459
Esfahan	Iran (Islamic Republic of)	32.65	51.67	1970	540001.291597
Karaj	Iran (Islamic Republic of)	35.81	50.96	1970	70001.4282267
Kermanshah	Iran (Islamic Republic of)	34.3	47.05	1970	220001.467114
Mashhad	Iran (Islamic Republic of)	36.28	59.59	1970	510001.513968
Qom	Iran (Islamic Republic of)	34.65	50.88	1970	170001.925737
Shiraz	Iran (Islamic Republic of)	29.6	52.53	1970	320001.707097
Tabriz	Iran (Islamic Republic of)	38.08	46.28	1970	500001.435295
Tehran	Iran (Islamic Republic of)	35.77	51.44	1970	3290001.04455
Al-Basrah	Iraq	30.5	47.76	1970	330001.117005
Al-Mawsil	Iraq	36.33	43.13	1970	320001.56842
Baghdad	Iraq	33.33	44.39	1970	2070001.71874
Irbil	Iraq	36.16	44.01	1970	130001.275
Dublin	Ireland	53.34	-6.25	1970	770001.343856
Hefa	Israel	32.76	35.0	1970	320001.350658
Tel Aviv-Yafo	Israel	32.04	34.76	1970	1030001.93083
Milano	Italy	45.47	9.18	1970	3020001.82434
Napoli	Italy	40.83	14.25	1970	2000001.5231
Palermo	Italy	38.12	13.35	1970	750001.305933
Rome	Italy	41.87	12.51	1970	3140001.89293
Torino	Italy	45.07	7.66	1970	1760001.93202
Abidjan	Côte d'Ivoire	5.32	-4.02	1970	550001.521733
Fukuoka-Kitakyushu	Japan	33.57	130.4	1970	1650001.99983
Hiroshima	Japan	34.37	132.44	1970	1380001.57254
Kyoto	Japan	35.0	135.75	1970	1300001.54203
Nagoya	Japan	35.15	136.92	1970	2000001.45991
Osaka-Kobe	Japan	34.63	135.51	1970	9410001.49119
Sapporo	Japan	43.05	141.34	1970	1480001.336
Sendai	Japan	38.25	140.89	1970	1260001.76371
Tokyo	Japan	35.68	139.8	1970	23300001.2518
Almaty	Kazakhstan	43.25	76.91	1970	740001.580951
Kabul	Afghanistan	34.53	69.13	1970	470001.820354
Wien	Austria	48.2	16.32	1970	2070001.24591
Amman	Jordan	31.94	35.93	1970	390001.5142
Mombasa	Kenya	-4.05	39.65	1970	250001.64367
Nairobi	Kenya	-1.26	36.8	1970	530001.075419
Hamhung	Democratic People's Republic of Korea	39.91	127.55	1970	450001.590817
N'ampo	Democratic People's Republic of Korea	38.73	125.4	1970	150001.426465
P'yongyang	Democratic People's Republic of Korea	39.02	125.75	1970	990001.648572
Bucheon	Republic of Korea	37.5	126.78	1970	80001.7066434
Busan	Republic of Korea	35.1	129.03	1970	1810001.28851
Daegu	Republic of Korea	35.86	128.6	1970	1050001.63184
Daejon	Republic of Korea	36.35	127.38	1970	400001.195484
Goyang	Republic of Korea	37.65	126.8	1970	100001.697168
Gwangju	Republic of Korea	35.16	126.91	1970	490001.092454
Incheon	Republic of Korea	37.48	126.63	1970	630001.008218
Seongnam	Republic of Korea	37.43	127.15	1970	200001.138865
Seoul	Republic of Korea	37.54	126.93	1970	5310001.64975
Suweon	Republic of Korea	37.26	127.01	1970	170001.709649
Ulsan	Republic of Korea	35.55	129.31	1970	150001.419981
Al Kuwayt (Kuwait City)	Kuwait	29.38	47.97	1970	550001.287434
Bishkek	Kyrgyzstan	42.87	74.77	1970	430001.853446
Bayrut	Lebanon	33.88	35.49	1970	920001.58874
Monrovia	Liberia	6.3	-10.79	1970	160001.391551
Banghazi	Libyan Arab Jamahiriya	32.12	20.06	1970	220001.598209
Tarabulus	Libyan Arab Jamahiriya	32.9	13.18	1970	400001.046559
Antananarivo	Madagascar	-18.9	47.52	1970	360001.520734
Johore Bharu	Malaysia	1.5	103.76	1970	140001.475548
Klang	Malaysia	3.03	101.45	1970	110001.549561
Kuala Lumpur	Malaysia	3.14	101.7	1970	450001.893671
Bamako	Mali	12.65	-7.98	1970	220001.741704
Aguascalientes	Mexico	21.88	-102.29	1970	180001.729363
Chihuahua	Mexico	28.63	-106.07	1970	290001.613686
Ciudad de México	Mexico	19.42	-99.12	1970	8770001.64392
Ciudad Juárez	Mexico	31.73	-106.48	1970	410001.186355
Culiacán	Mexico	24.8	-107.38	1970	170001.958563
Guadalajara	Mexico	20.67	-103.34	1970	1510001.33955
León de los Aldamas	Mexico	21.11	-101.68	1970	480001.430637
Mérida	Mexico	20.97	-89.62	1970	270001.993876
Mexicali	Mexico	32.65	-115.46	1970	270001.553564
Monterrey	Mexico	25.67	-100.31	1970	1270001.39607
Puebla	Mexico	19.04	-98.19	1970	640001.339856
Querétaro	Mexico	20.58	-100.38	1970	120001.812908
Saltillo	Mexico	25.41	-100.99	1970	160001.681752
San Luis Potosí	Mexico	22.15	-100.97	1970	300001.911703
Tijuana	Mexico	32.52	-117.03	1970	290001.702708
Toluca de Lerdo	Mexico	19.28	-99.66	1970	160001.810094
Torreón	Mexico	25.55	-103.76	1970	450001.043427
Ulaanbaatar	Mongolia	47.92	106.91	1970	300001.308963
Chittagong	Bangladesh	22.32	91.82	1970	720001.39522
Dhaka	Bangladesh	23.7	90.4	1970	1370001.27265
Khulna	Bangladesh	22.84	89.55	1970	310001.245437
Rajshahi	Bangladesh	24.35	88.63	1970	100001.789938
Dar-el-Beida	Morocco	33.6	-7.63	1970	1500001.94792
Fès	Morocco	34.04	-4.99	1970	370001.250897
Marrakech	Morocco	31.63	-8.01	1970	320001.099848
Rabat	Morocco	34.01	-6.83	1970	490001.256268
Maputo	Mozambique	-25.96	32.57	1970	370001.487537
Yerevan	Armenia	40.2	44.53	1970	780001.718818
Kathmandu	Nepal	27.71	85.31	1970	150001.441329
Amsterdam	Netherlands	52.37	4.89	1970	930001.227743
Rotterdam	Netherlands	51.92	4.48	1970	970001.164407
Auckland	New Zealand	-36.9	174.76	1970	640001.869693
Managua	Nicaragua	12.15	-86.27	1970	370001.603788
Antwerpen	Belgium	51.2	4.42	1970	860001.122925
Bruxelles-Brussel	Belgium	50.83	4.36	1970	1570001.18142
Niamey	Niger	13.51	2.12	1970	130001.915984
Abuja	Nigeria	9.05	7.25	1970	50001.3619719
Benin City	Nigeria	6.33	5.62	1970	160001.380515
Ibadan	Nigeria	7.37	3.89	1970	810001.430035
Ilorin	Nigeria	8.49	4.54	1970	270001.604223
Kaduna	Nigeria	10.51	7.44	1970	270001.68975
Kano	Nigeria	11.99	8.49	1970	540001.28499
Lagos	Nigeria	6.45	3.3	1970	1410001.18788
Maiduguri	Nigeria	11.85	13.16	1970	220001.178824
Ogbomosho	Nigeria	8.13	4.25	1970	380001.742325
Port Harcourt	Nigeria	4.78	7.0	1970	270001.127658
Zaria	Nigeria	11.06	7.7	1970	240001.556889
Oslo	Norway	59.93	10.71	1970	640001.94463
Faisalabad	Pakistan	31.4	73.08	1970	730001.621242
Gujranwala	Pakistan	32.15	74.18	1970	320001.482457
Hyderabad	Pakistan	25.38	68.36	1970	590001.082605
Islamabad	Pakistan	33.71	73.06	1970	70001.0474599
Karachi	Pakistan	24.89	67.02	1970	3120001.9653
Lahore	Pakistan	31.54	74.34	1970	1960001.21622
Multan	Pakistan	30.2	71.41	1970	500001.893641
Peshawar	Pakistan	34.0	71.54	1970	260001.543353
Quetta	Pakistan	30.2	67.01	1970	140001.487552
Rawalpindi	Pakistan	33.6	73.04	1970	550001.49967
Ciudad de Panamá (Panama City)	Panama	9.0	-79.51	1970	460001.904337
Asunción	Paraguay	-25.3	-57.62	1970	550001.610964
Arequipa	Peru	-16.39	-71.52	1970	270001.707601
Lima	Peru	-12.08	-77.04	1970	2980001.79296
Cebu	Philippines	10.42	123.79	1970	350001.755795
Davao	Philippines	7.08	125.61	1970	400001.140158
Manila	Philippines	14.61	120.96	1970	3530001.65871
Zamboanga	Philippines	6.9	122.06	1970	200001.761164
Kraków	Poland	50.06	19.94	1970	580001.346158
Lódz	Poland	51.77	19.47	1970	760001.164203
Warszawa	Poland	52.24	21.01	1970	1300001.88921
Lisboa	Portugal	38.72	-9.12	1970	1820001.51109
Porto	Portugal	41.16	-8.58	1970	920001.208388
San Juan	Puerto Rico	18.8	-71.22	1970	920001.783486
Bucuresti	Romania	44.43	26.12	1970	1400001.98366
Chelyabinsk	Russian Federation	55.14	61.39	1970	880001.501427
Kazan	Russian Federation	55.73	49.14	1970	880001.250062
Krasnoyarsk	Russian Federation	56.01	92.83	1970	660001.35294
Moskva	Russian Federation	55.74	37.7	1970	7110001.20884
Nizhniy Novgorod	Russian Federation	58.54	31.27	1970	1180001.46985
Novosibirsk	Russian Federation	55.03	82.94	1970	1170001.95378
Omsk	Russian Federation	55.06	73.25	1970	830001.014034
Perm	Russian Federation	58.0	56.23	1970	860001.156295
Rostov-na-Donu	Russian Federation	47.23	39.68	1970	800001.749944
Samara	Russian Federation	53.23	50.16	1970	1060001.69384
Sankt Peterburg	Russian Federation	59.91	30.24	1970	3980001.83713
Saratov	Russian Federation	51.49	45.95	1970	760001.648144
Ufa	Russian Federation	54.82	56.09	1970	780001.182048
Volgograd	Russian Federation	48.7	44.48	1970	820001.67837
Voronezh	Russian Federation	51.71	39.26	1970	670001.18749
Yekaterinburg	Russian Federation	56.83	60.58	1970	1040001.20311
Kigali	Rwanda	-1.95	30.05	1970	60001.037131
La Paz	Bolivia	-16.5	-68.15	1970	600001.33125
Santa Cruz	Bolivia	-17.78	-63.19	1970	170001.282824
Ad-Dammam	Saudi Arabia	26.33	50.08	1970	80001.6686538
Al-Madinah	Saudi Arabia	24.42	39.69	1970	130001.69431
Ar-Riyadh	Saudi Arabia	24.65	46.77	1970	410001.17475
Jiddah	Saudi Arabia	21.54	39.17	1970	350001.906022
Makkah	Saudi Arabia	21.42	39.81	1970	270001.697832
Dakar	Senegal	14.68	-17.45	1970	610001.182312
Beograd	Serbia	44.79	20.41	1970	730001.256934
Freetown	Sierra Leone	8.48	-13.23	1970	210001.467124
Singapore	Singapore	1.26	103.83	1970	2080001.76668
Hà Noi	Viet Nam	21.03	105.82	1970	1310001.20092
Hai Phòng	Viet Nam	20.86	106.67	1970	700001.49571
Thành Pho Ho Chí Minh	Viet Nam	10.75	106.66	1970	2230001.28953
Muqdisho	Somalia	2.04	45.34	1970	270001.540421
Cape Town	South Africa	-33.97	18.48	1970	1110001.19089
Durban	South Africa	-29.83	30.94	1970	860001.187458
Ekurhuleni	South Africa	-26.17	28.22	1970	900001.314583
Johannesburg	South Africa	-26.17	28.0	1970	1440001.92521
Port Elizabeth	South Africa	-33.88	25.48	1970	480001.998514
Pretoria	South Africa	-25.73	28.21	1970	560001.189904
Vereeniging	South Africa	-26.67	27.93	1970	310001.657685
Harare	Zimbabwe	-17.82	31.02	1970	420001.800968
Barcelona	Spain	41.38	2.18	1970	3480001.32836
Madrid	Spain	40.44	-3.69	1970	3520001.03009
Valencia	Spain	39.47	-0.36	1970	640001.175571
Al-Khartum	Sudan	15.55	32.52	1970	660001.597977
Stockholm	Sweden	59.33	17.99	1970	1040001.94933
Zürich	Switzerland	47.4	8.53	1970	710001.386574
Baixada Santista	Brazil	-23.95	-46.36	1970	620001.050886
Belém	Brazil	-1.43	-48.49	1970	600001.575443
Belo Horizonte	Brazil	-19.85	-43.9	1970	1480001.30193
Brasília	Brazil	-15.79	-47.89	1970	520001.069571
Campinas	Brazil	-22.9	-47.05	1970	540001.526287
Campo Grande	Brazil	-20.45	-54.61	1970	130001.667139
Cuiabá	Brazil	-15.61	-56.09	1970	100001.89526
Curitiba	Brazil	-25.43	-49.28	1970	650001.546573
Florianópolis	Brazil	-27.57	-48.61	1970	150001.261122
Fortaleza	Brazil	-3.78	-38.58	1970	870001.349891
Goiânia	Brazil	-16.72	-49.25	1970	380001.833837
Grande São Luís	Brazil	-2.51	-44.3	1970	260001.902117
Grande Vitória	Brazil	-20.3	-40.35	1970	340001.556014
João Pessoa	Brazil	-7.12	-34.86	1970	290001.522849
Maceió	Brazil	-9.67	-35.74	1970	280001.633207
Manaus	Brazil	-3.12	-60.01	1970	280001.848109
Natal	Brazil	-5.8	-35.21	1970	290001.179487
Norte/Nordeste Catarinense	Brazil	-26.32	-48.84	1970	200001.42747
Pôrto Alegre	Brazil	-30.04	-51.2	1970	1400001.61815
Recife	Brazil	-8.08	-34.91	1970	1640001.48694
Rio de Janeiro	Brazil	-22.72	-43.45	1970	6640001.87082
Salvador	Brazil	-12.99	-38.48	1970	1070001.4304
São Paulo	Brazil	-23.58	-46.62	1970	7620001.02346
Teresina	Brazil	-5.1	-42.8	1970	200001.410304
Dimashq	Syrian Arab Republic	33.49	36.29	1970	910001.095395
Halab	Syrian Arab Republic	36.21	37.15	1970	720001.499662
Hims	Syrian Arab Republic	34.73	36.71	1970	250001.377397
Krung Thep	Thailand	13.75	100.51	1970	3110001.41718
Lomé	Togo	6.1	1.2	1970	190001.00297
Dubayy	United Arab Emirates	25.27	55.32	1970	80001.6694777
Adana	Turkey	37.0	35.32	1970	400001.659125
Ankara	Turkey	39.92	32.85	1970	1340001.82876
Antalya	Turkey	36.89	30.7	1970	100001.425206
Bursa	Turkey	40.19	29.07	1970	320001.580451
Gaziantep	Turkey	37.04	37.3	1970	260001.024499
Istanbul	Turkey	41.06	29.0	1970	2770001.66808
Izmir	Turkey	38.43	27.14	1970	880001.625062
Konya	Turkey	37.87	32.48	1970	240001.420502
Kampala	Uganda	0.32	32.57	1970	340001.009296
Dnipropetrovs'k	Ukraine	48.42	35.13	1970	870001.996341
Donets'k	Ukraine	48.04	37.73	1970	890001.023031
Kharkiv	Ukraine	49.98	36.2	1970	1230001.01651
Kyiv	Ukraine	50.44	30.5	1970	1660001.00455
Odesa	Ukraine	46.46	30.73	1970	900001.237239
Zaporizhzhya	Ukraine	47.85	35.15	1970	660001.854946
Al-Iskandariyah	Egypt	31.2	29.9	1970	1990001.54527
Al-Qahirah	Egypt	30.07	31.25	1970	5580001.86744
Birmingham	United Kingdom	52.49	-1.86	1970	2370001.74283
Glasgow	United Kingdom	55.86	-4.26	1970	1730001.77836
Liverpool	United Kingdom	53.42	-2.97	1970	1280001.45445
London	United Kingdom	51.48	-0.17	1970	7510001.05524
Manchester	United Kingdom	53.47	-2.26	1970	2400001.42947
Newcastle upon Tyne	United Kingdom	54.96	-1.6	1970	890001.040137
West Yorkshire	United Kingdom	53.79	-1.54	1970	1730001.89517
Dar es Salaam	United Republic of Tanzania	-6.81	39.25	1970	360001.157952
Atlanta	United States of America	33.79	-84.34	1970	1180001.5443
Austin	United States of America	30.27	-97.73	1970	270001.982414
Baltimore	United States of America	39.32	-76.61	1970	1560001.50809
Boston	United States of America	42.37	-71.1	1970	3190001.12629
Bridgeport-Stamford	United States of America	41.18	-73.19	1970	700001.439994
Buffalo	United States of America	42.89	-78.84	1970	1080001.24706
Charlotte	United States of America	35.2	-80.83	1970	280001.308869
Chicago	United States of America	41.82	-87.64	1970	7110001.94115
Cincinnati	United States of America	39.14	-84.47	1970	1200001.09784
Cleveland	United States of America	41.39	-81.72	1970	1950001.56226
Columbus, Ohio	United States of America	40.04	-82.99	1970	790001.222883
Dallas-Fort Worth	United States of America	32.76	-96.66	1970	2020001.77465
Dayton	United States of America	39.75	-84.19	1970	680001.728851
Denver-Aurora	United States of America	39.57	-105.07	1970	1050001.34203
Detroit	United States of America	42.39	-83.07	1970	3970001.66893
El Paso	United States of America	31.77	-106.45	1970	340001.33685
Hartford	United States of America	41.76	-72.7	1970	670001.914598
Honolulu	United States of America	21.32	-157.86	1970	440001.481565
Houston	United States of America	29.77	-95.4	1970	1690001.84239
Indianapolis	United States of America	39.81	-86.13	1970	820001.236565
Jacksonville, Florida	United States of America	30.33	-81.65	1970	530001.725143
Kansas City	United States of America	38.99	-94.62	1970	1090001.62355
Las Vegas	United States of America	36.17	-115.13	1970	240001.333606
Los Angeles-Long Beach-Santa Ana	United States of America	34.0	-118.25	1970	8380001.79959
Louisville	United States of America	38.25	-85.76	1970	740001.913499
Memphis	United States of America	35.11	-90.0	1970	670001.539644
Miami	United States of America	25.83	-80.27	1970	2140001.64474
Milwaukee	United States of America	43.06	-87.99	1970	1250001.16196
Minneapolis-St. Paul	United States of America	44.92	-93.3	1970	1710001.80463
Nashville-Davidson	United States of America	36.14	-86.81	1970	450001.355531
New Orleans	United States of America	29.95	-90.09	1970	960001.737858
New York-Newark	United States of America	40.7	-73.9	1970	16190001.33
Oklahoma City	United States of America	35.48	-97.53	1970	530001.098624
Orlando	United States of America	28.54	-81.37	1970	310001.454314
Philadelphia	United States of America	39.92	-75.21	1970	4400001.00022
Phoenix-Mesa	United States of America	33.5	-112.11	1970	870001.812383
Pittsburgh	United States of America	40.49	-79.99	1970	1840001.94891
Portland	United States of America	45.44	-122.64	1970	830001.722181
Providence	United States of America	41.81	-71.42	1970	940001.360358
Richmond	United States of America	37.56	-77.47	1970	520001.308719
Riverside-San Bernardino	United States of America	34.12	-117.29	1970	590001.191917
Rochester	United States of America	43.21	-77.63	1970	600001.723818
Sacramento	United States of America	38.56	-121.42	1970	640001.910525
Salt Lake City	United States of America	40.69	-111.89	1970	480001.175514
San Antonio	United States of America	29.42	-98.52	1970	780001.85054
San Diego	United States of America	32.76	-117.12	1970	1210001.99985
San Francisco-Oakland	United States of America	37.79	-122.38	1970	2530001.10145
San Jose	United States of America	37.3	-121.84	1970	1010001.90282
Seattle	United States of America	47.58	-122.31	1970	1560001.11036
St. Louis	United States of America	38.63	-90.34	1970	1880001.23539
Tampa-St. Petersburg	United States of America	27.99	-82.59	1970	870001.870355
Tucson	United States of America	32.22	-110.92	1970	300001.021394
Virginia Beach	United States of America	36.83	-76.08	1970	930001.662299
Washington, D.C.	United States of America	38.89	-76.95	1970	2490001.21847
Ouagadougou	Burkina Faso	12.48	-1.67	1970	110001.400413
Montevideo	Uruguay	-34.92	-56.16	1970	1360001.13268
Tashkent	Uzbekistan	41.24	69.34	1970	1400001.69646
Barquisimeto	Venezuela (Bolivarian Republic of)	10.06	-69.33	1970	380001.035381
Caracas	Venezuela (Bolivarian Republic of)	10.49	-66.89	1970	2060001.77333
Maracaibo	Venezuela (Bolivarian Republic of)	10.64	-71.63	1970	670001.13204
Maracay	Venezuela (Bolivarian Republic of)	10.24	-67.59	1970	250001.916534
Valencia	Venezuela (Bolivarian Republic of)	10.17	-68.0	1970	410001.333158
Al-Hudaydah	Yemen	14.79	42.94	1970	70001.1020909
Sana'a'	Yemen	15.36	44.2	1970	110001.010703
Ta'izz	Yemen	13.57	44.01	1970	60001.216431
Lusaka	Zambia	-15.42	28.17	1970	280001.195158
Sofia	Bulgaria	42.7	23.33	1975	980001.029483
Mandalay	Myanmar	21.97	96.08	1975	440001.995407
Nay Pyi Taw	Myanmar	19.75	96.1	1975	1.84493112649
Yangon	Myanmar	16.87	96.12	1975	2150001.91628
Minsk	Belarus	53.89	27.57	1975	1120001.66559
Phnum Pénh	Cambodia	11.56	104.91	1975	100001.1012
El Djazaïr	Algeria	36.78	3.05	1975	1500001.68068
Wahran	Algeria	35.74	-0.52	1975	470001.842022
Douala	Cameroon	4.13	9.7	1975	430001.170503
Yaoundé	Cameroon	3.86	11.51	1975	290001.3413
Calgary	Canada	51.03	-114.04	1975	460001.570605
Edmonton	Canada	53.55	-113.5	1975	540001.237003
Montréal	Canada	45.54	-73.65	1975	2790001.13549
Ottawa-Gatineau	Canada	45.37	-75.65	1975	680001.323314
Toronto	Canada	43.72	-79.41	1975	2770001.61658
Vancouver	Canada	49.27	-122.96	1975	1150001.96299
N'Djaména	Chad	12.1	15.24	1975	230001.691253
Santiago	Chile	-33.43	-70.65	1975	3140001.38735
Valparaíso	Chile	-33.02	-71.55	1975	580001.068861
Anshan, Liaoning	China	41.11	122.97	1975	1080001.14961
Anshun	China	26.25	105.93	1975	330001.753432
Anyang	China	36.1	114.33	1975	360001.501141
Baoding	China	38.85	115.48	1975	400001.403875
Baotou	China	40.65	109.8	1975	920001.501593
Beijing	China	39.9	116.38	1975	6030001.51314
Bengbu	China	32.93	117.35	1975	460001.324532
Benxi	China	41.3	123.77	1975	710001.100298
Changchun	China	43.88	125.31	1975	1560001.8332
Changde	China	29.03	111.68	1975	700001.324674
Changsha, Hunan	China	28.09	113.0	1975	940001.660027
Changzhou, Jiangsu	China	31.78	119.97	1975	360001.513832
Chengdu	China	30.67	104.07	1975	1910001.99143
Chifeng	China	42.27	118.95	1975	340001.858207
Chongqing	China	29.54	106.52	1975	2440001.25084
Dalian	China	39.03	121.59	1975	1400001.24292
Dandong	China	40.11	124.38	1975	450001.931872
Daqing	China	46.58	125.0	1975	600001.647592
Datong, Shanxi	China	40.06	113.28	1975	880001.454017
Dongguan, Guangdong	China	23.03	113.71	1975	900001.366712
Foshan	China	23.03	113.71	1975	220001.072016
Fushun, Liaoning	China	41.85	123.9	1975	1080001.76545
Fuxin	China	42.01	121.65	1975	480001.269417
Fuyang	China	30.05	119.94	1975	130001.929559
Fuzhou, Fujian	China	26.07	119.3	1975	1010001.21272
Guangzhou, Guangdong	China	23.09	113.29	1975	2670001.96218
Guilin	China	25.27	110.29	1975	340001.566116
Guiyang	China	26.57	106.7	1975	1140001.23052
Haerbin	China	45.75	126.62	1975	2290001.1852
Handan	China	36.6	114.48	1975	770001.374685
Hangzhou	China	30.25	120.16	1975	1100001.57134
Hefei	China	31.86	117.27	1975	640001.964053
Hengyang	China	26.9	112.6	1975	410001.827682
Heze	China	35.23	115.43	1975	780001.59543
Hohhot	China	40.81	111.64	1975	620001.115307
Huai'an	China	33.5	119.13	1975	1000001.94409
Huaibei	China	34.15	116.65	1975	380001.974359
Huainan	China	32.61	116.98	1975	880001.825871
Huzhou	China	30.86	120.1	1975	880001.064694
Jiamusi	China	46.83	130.35	1975	440001.724575
Jiaozuo	China	35.24	113.22	1975	400001.966194
Jiaxing	China	30.76	120.75	1975	610001.740324
Jilin	China	43.85	126.56	1975	870001.97908
Jinan, Shandong	China	36.65	116.96	1975	1240001.55106
Jining, Shandong	China	35.4	116.56	1975	450001.170018
Jinxi, Liaoning	China	41.11	122.05	1975	580001.412742
Jinzhou	China	41.1	121.13	1975	530001.561475
Jixi, Heilongjiang	China	45.3	130.96	1975	560001.051569
Kaifeng	China	34.79	114.34	1975	540001.838183
Kaohsiung	China	22.6	120.28	1975	990001.251331
Kunming	China	25.05	102.7	1975	1220001.08713
Langfang	China	39.51	116.7	1975	140001.104475
Lanzhou	China	36.11	103.59	1975	1040001.37939
Leshan	China	29.58	103.75	1975	860001.182434
Lianyungang	China	41.26	119.16	1975	300001.12629
Liaoyang	China	41.26	123.17	1975	330001.944721
Linfen	China	36.08	111.51	1975	240001.992734
Linyi, Shandong	China	35.05	118.31	1975	1010001.67929
Liuan	China	31.73	116.46	1975	1160001.31367
Liupanshui	China	26.59	104.83	1975	630001.723893
Liuzhou	China	24.31	109.38	1975	430001.099476
Luoyang	China	34.67	112.36	1975	800001.343737
Luzhou	China	28.88	105.43	1975	230001.218926
Mianyang, Sichuan	China	31.46	104.75	1975	700001.572348
Mudanjiang	China	44.58	129.59	1975	460001.643034
Nanchang	China	28.67	115.88	1975	900001.252726
Nanchong	China	28.68	115.88	1975	190001.277606
Nanjing, Jiangsu	China	32.04	118.76	1975	1940001.88315
Nanning	China	22.83	108.29	1975	600001.422321
Nantong	China	32.0	120.83	1975	330001.826033
Nanyang, Henan	China	33.0	112.53	1975	200001.538306
Neijiang	China	29.58	105.06	1975	240001.160907
Ningbo	China	29.86	121.55	1975	820001.045692
Pingdingshan, Henan	China	33.73	113.3	1975	370001.01941
Pingxiang, Jiangxi	China	27.63	113.85	1975	360001.701366
Qingdao	China	36.14	120.43	1975	1110001.08179
Qinhuangdao	China	39.93	119.6	1975	320001.086475
Qiqihaer	China	47.34	123.96	1975	1090001.44298
Quanzhou	China	24.91	118.58	1975	360001.709632
Shanghai	China	31.24	121.47	1975	7330001.83517
Shangqiu	China	34.41	115.63	1975	140001.651887
Shantou	China	23.36	116.7	1975	610001.970939
Shaoxing	China	30.0	120.58	1975	170001.351375
Shenyang	China	41.8	123.38	1975	3700001.24556
Shenzhen	China	22.55	114.1	1975	300001.973409
Shijiazhuang	China	38.07	114.55	1975	830001.060607
Suining, Sichuan	China	30.51	105.56	1975	1040001.87313
Suzhou, Anhui	China	33.61	117.0	1975	150001.853732
Suzhou, Jiangsu	China	31.3	120.6	1975	620001.561586
Taian, Shandong	China	36.16	117.11	1975	1160001.6283
Taichung	China	24.14	120.67	1975	540001.393664
Tainan	China	23.01	120.2	1975	520001.642632
Taipei	China	25.03	121.5	1975	2020001.956
